Station,Condition,Fraction,Date,ImageNumber,Count,Total_Area,Average_Size,Perc_Area,Mean,Perim
Station2,0point2,0point2,2022.11,1,22,18.809,0.855,0.05,255,3.335
Station2,0point2,0point2,2021.11,10,20,27.601,1.38,0.074,255,4.036
Station2,0point2,0point2,2021.07,10,11,21.124,1.92,0.056,255,4.725
Station2,0point2,0point2,2022.05,10,50,54.631,1.093,0.145,255,3.839
Station2,0point2,0point2,2022.06,10,56,81.738,1.46,0.218,255,4.242
Station2,0point2,0point2,2022.11,10,42,29.162,0.694,0.078,255,2.911
Station2,0point2,0point2,2021.11,11,23,34.261,1.49,0.091,255,3.934
Station2,0point2,0point2,2021.07,11,13,17.144,1.319,0.046,255,4.298
Station2,0point2,0point2,2022.05,11,11,6.686,0.608,0.018,255,2.73
Station2,0point2,0point2,2022.06,11,118,169.745,1.439,0.452,255,4.244
Station2,0point2,0point2,2022.11,11,30,48.153,1.605,0.128,255,4.511
Station2,0point2,0point2,2021.11,12,27,26.041,0.964,0.069,255,3.284
Station2,0point2,0point2,2021.07,12,47,63.085,1.342,0.168,255,4.001
Station2,0point2,0point2,2022.05,12,62,103.122,1.663,0.275,255,4.624
Station2,0point2,0point2,2022.06,12,54,80.905,1.498,0.215,255,4.397
Station2,0point2,0point2,2022.11,12,21,40.661,1.936,0.108,255,6.179
Station2,0point2,0point2,2021.11,13,31,51.379,1.657,0.137,255,4.575
Station2,0point2,0point2,2021.07,13,43,57.336,1.333,0.153,255,4.051
Station2,0point2,0point2,2022.05,13,41,42.326,1.032,0.113,255,3.433
Station2,0point2,0point2,2022.06,13,41,51.561,1.258,0.137,255,4.089
Station2,0point2,0point2,2022.11,13,191,216.493,1.133,0.577,255,4.078
Station2,0point2,0point2,2021.11,14,33,45.786,1.387,0.122,255,3.999
Station2,0point2,0point2,2021.07,14,53,62.201,1.174,0.166,255,3.961
Station2,0point2,0point2,2022.05,14,72,110.12,1.529,0.293,255,4.476
Station2,0point2,0point2,2022.06,14,50,81.712,1.634,0.218,255,4.69
Station2,0point2,0point2,2022.11,14,22,22.945,1.043,0.061,255,3.816
Station2,0point2,0point2,2021.11,15,67,81.296,1.213,0.216,255,3.621
Station2,0point2,0point2,2021.07,15,65,61.29,0.943,0.163,255,3.227
Station2,0point2,0point2,2022.05,15,5,3.408,0.682,0.009,255,2.887
Station2,0point2,0point2,2022.06,15,61,98.075,1.608,0.261,255,4.755
Station2,0point2,0point2,2022.11,15,38,51.743,1.362,0.138,255,4.704
Station2,0point2,0point2,2021.11,16,17,22.008,1.295,0.059,255,3.811
Station2,0point2,0point2,2021.07,16,22,44.563,2.026,0.119,255,5.184
Station2,0point2,0point2,2022.05,16,128,155.879,1.218,0.415,255,4.12
Station2,0point2,0point2,2022.06,16,44,58.325,1.326,0.155,255,4.09
Station2,0point2,0point2,2022.11,16,49,69.329,1.415,0.185,255,4.247
Station2,0point2,0point2,2021.11,17,27,34.339,1.272,0.091,255,3.961
Station2,0point2,0point2,2021.07,17,45,63.502,1.411,0.169,255,4.084
Station2,0point2,0point2,2022.05,17,108,153.226,1.419,0.408,255,4.269
Station2,0point2,0point2,2022.06,17,37,47.919,1.295,0.128,255,4.066
Station2,0point2,0point2,2022.11,17,87,112.825,1.297,0.3,255,4.174
Station2,0point2,0point2,2021.11,18,30,34.339,1.145,0.091,255,4.006
Station2,0point2,0point2,2021.07,18,15,14.854,0.99,0.04,255,3.504
Station2,0point2,0point2,2022.05,18,27,47.997,1.778,0.128,255,4.625
Station2,0point2,0point2,2022.06,18,46,62.175,1.352,0.166,255,4.13
Station2,0point2,0point2,2022.11,18,59,83.533,1.416,0.222,255,4.282
Station2,0point2,0point2,2021.11,19,35,39.256,1.122,0.105,255,3.634
Station2,0point2,0point2,2021.07,19,48,64.23,1.338,0.171,255,4.094
Station2,0point2,0point2,2022.05,19,223,263.58,1.182,0.702,255,3.813
Station2,0point2,0point2,2022.06,19,66,113.371,1.718,0.302,255,4.854
Station2,0point2,0point2,2022.11,19,23,31.504,1.37,0.084,255,4.087
Station2,0point2,0point2,2021.11,2,17,20.369,1.198,0.054,255,3.575
Station2,0point2,0point2,2021.07,2,28,30.645,1.094,0.082,255,3.654
Station2,0point2,0point2,2022.05,2,114,146.02,1.281,0.389,255,4.152
Station2,0point2,0point2,2022.06,2,2,5.125,2.562,0.014,255,5.727
Station2,0point2,0point2,2022.11,2,0,0,NaN,0,NaN,NaN
Station2,0point2,0point2,2021.11,20,23,37.565,1.633,0.1,255,4.348
Station2,0point2,0point2,2021.07,20,48,58.455,1.218,0.156,255,3.823
Station2,0point2,0point2,2022.05,20,79,100.026,1.266,0.266,255,4.156
Station2,0point2,0point2,2022.06,20,17,28.72,1.689,0.076,255,4.526
Station2,0point2,0point2,2022.11,20,50,77.341,1.547,0.206,255,4.513
Station2,0point2,0point2,2021.11,21,45,46.54,1.034,0.124,255,3.788
Station2,0point2,0point2,2021.07,21,23,23.959,1.042,0.064,255,3.504
Station2,0point2,0point2,2022.05,21,60,80.645,1.344,0.215,255,4.328
Station2,0point2,0point2,2022.06,21,24,25.832,1.076,0.069,255,3.973
Station2,0point2,0point2,2022.11,21,25,30.931,1.237,0.082,255,4.183
Station2,0point2,0point2,2021.11,22,4,12.201,3.05,0.032,255,6.616
Station2,0point2,0point2,2021.07,22,30,38.371,1.279,0.102,255,4.083
Station2,0point2,0point2,2022.05,22,137,167.482,1.222,0.446,255,4.08
Station2,0point2,0point2,2022.06,22,78,101.483,1.301,0.27,255,3.98
Station2,0point2,0point2,2022.11,22,59,85.146,1.443,0.227,255,4.101
Station2,0point2,0point2,2021.11,23,20,34.313,1.716,0.091,255,4.572
Station2,0point2,0point2,2021.07,23,26,48.829,1.878,0.13,255,4.773
Station2,0point2,0point2,2022.05,23,110,172.086,1.564,0.458,255,4.556
Station2,0point2,0point2,2022.06,23,25,36.524,1.461,0.097,255,4.463
Station2,0point2,0point2,2022.11,23,36,48.387,1.344,0.129,255,4.05
Station2,0point2,0point2,2021.11,24,36,38.658,1.074,0.103,255,3.707
Station2,0point2,0point2,2021.07,24,15,18.783,1.252,0.05,255,4.242
Station2,0point2,0point2,2022.05,24,65,97.503,1.5,0.26,255,4.493
Station2,0point2,0point2,2022.06,24,42,57.492,1.369,0.153,255,4.291
Station2,0point2,0point2,2022.11,24,58,72.008,1.242,0.192,255,4.006
Station2,0point2,0point2,2021.11,25,10,12.851,1.285,0.034,255,3.953
Station2,0point2,0point2,2021.07,25,37,57.31,1.549,0.153,255,4.436
Station2,0point2,0point2,2022.05,25,230,303.668,1.32,0.809,255,4.083
Station2,0point2,0point2,2022.06,25,56,65.245,1.165,0.174,255,3.977
Station2,0point2,0point2,2022.11,25,57,70.968,1.245,0.189,255,3.953
Station2,0point2,0point2,2021.11,26,53,69.563,1.313,0.185,255,4.086
Station2,0point2,0point2,2021.07,26,38,49.194,1.295,0.131,255,4.066
Station2,0point2,0point2,2022.05,26,8,4.136,0.517,0.011,255,2.503
Station2,0point2,0point2,2022.06,26,18,29.995,1.666,0.08,255,4.435
Station2,0point2,0point2,2022.11,26,47,60.77,1.293,0.162,255,4.276
Station2,0point2,0point2,2021.11,27,20,30.671,1.534,0.082,255,4.308
Station2,0point2,0point2,2021.07,27,26,41.233,1.586,0.11,255,4.535
Station2,0point2,0point2,2022.05,27,3,1.821,0.607,0.005,255,2.564
Station2,0point2,0point2,2022.06,27,21,27.836,1.326,0.074,255,4.724
Station2,0point2,0point2,2022.11,27,73,109.755,1.503,0.292,255,4.55
Station2,0point2,0point2,2021.11,28,13,15.713,1.209,0.042,255,3.933
Station2,0point2,0point2,2022.05,28,86,108.039,1.256,0.288,255,4.066
Station2,0point2,0point2,2022.06,28,36,61.186,1.7,0.163,255,4.837
Station2,0point2,0point2,2022.11,28,86,98.673,1.147,0.263,255,3.745
Station2,0point2,0point2,2021.11,29,15,18.34,1.223,0.049,255,4.055
Station2,0point2,0point2,2022.05,29,105,143.288,1.365,0.382,255,4.203
Station2,0point2,0point2,2022.06,29,33,42.586,1.29,0.113,255,3.887
Station2,0point2,0point2,2022.11,29,56,88.502,1.58,0.236,255,4.474
Station2,0point2,0point2,2021.11,3,39,45.525,1.167,0.121,255,3.905
Station2,0point2,0point2,2021.07,3,17,21.93,1.29,0.058,255,3.731
Station2,0point2,0point2,2022.05,3,51,78.2,1.533,0.208,255,4.45
Station2,0point2,0point2,2022.06,3,67,96.566,1.441,0.257,255,4.275
Station2,0point2,0point2,2022.11,3,57,90.843,1.594,0.242,255,4.818
Station2,0point2,0point2,2021.11,30,23,33.325,1.449,0.089,255,4.006
Station2,0point2,0point2,2022.05,30,78,89.308,1.145,0.238,255,3.705
Station2,0point2,0point2,2022.06,30,38,50.468,1.328,0.134,255,4.039
Station2,0point2,0point2,2022.11,30,46,53.72,1.168,0.143,255,4.125
Station2,0point2,0point2,2021.11,31,26,33.871,1.303,0.09,255,4.098
Station2,0point2,0point2,2022.06,31,65,73.309,1.128,0.195,255,3.926
Station2,0point2,0point2,2022.11,31,46,73.777,1.604,0.196,255,4.639
Station2,0point2,0point2,2021.11,32,24,32.18,1.341,0.086,255,4.36
Station2,0point2,0point2,2022.06,32,49,70.994,1.449,0.189,255,4.383
Station2,0point2,0point2,2021.11,33,10,14.828,1.483,0.039,255,4.551
Station2,0point2,0point2,2021.11,34,11,12.175,1.107,0.032,255,3.782
Station2,0point2,0point2,2021.11,35,24,35.042,1.46,0.093,255,4.556
Station2,0point2,0point2,2021.11,36,29,40.114,1.383,0.107,255,4.119
Station2,0point2,0point2,2021.11,37,45,68.965,1.533,0.184,255,4.273
Station2,0point2,0point2,2021.11,38,57,71.436,1.253,0.19,255,3.933
Station2,0point2,0point2,2021.11,39,36,55.437,1.54,0.148,255,4.473
Station2,0point2,0point2,2021.11,4,32,50.468,1.577,0.134,255,4.519
Station2,0point2,0point2,2021.07,4,39,51.977,1.333,0.138,255,4.086
Station2,0point2,0point2,2022.05,4,31,49.324,1.591,0.131,255,4.687
Station2,0point2,0point2,2022.06,4,59,103.668,1.757,0.276,255,4.999
Station2,0point2,0point2,2022.11,4,60,88.762,1.479,0.236,255,4.361
Station2,0point2,0point2,2021.11,40,24,32.674,1.361,0.087,255,4.203
Station2,0point2,0point2,2021.11,41,11,7.414,0.674,0.02,255,2.903
Station2,0point2,0point2,2021.11,42,28,42.04,1.501,0.112,255,4.413
Station2,0point2,0point2,2021.11,43,30,31.27,1.042,0.083,255,3.626
Station2,0point2,0point2,2021.11,44,22,36.967,1.68,0.098,255,4.56
Station2,0point2,0point2,2021.11,45,19,32.44,1.707,0.086,255,4.65
Station2,0point2,0point2,2021.11,46,27,39.568,1.465,0.105,255,4.224
Station2,0point2,0point2,2021.11,47,23,23.881,1.038,0.064,255,3.505
Station2,0point2,0point2,2021.11,48,16,30.671,1.917,0.082,255,5.068
Station2,0point2,0point2,2021.11,49,16,23.829,1.489,0.063,255,4.588
Station2,0point2,0point2,2021.11,5,37,44.095,1.192,0.117,255,3.685
Station2,0point2,0point2,2021.07,5,22,28.954,1.316,0.077,255,4.021
Station2,0point2,0point2,2022.05,5,8,7.154,0.894,0.019,255,3.454
Station2,0point2,0point2,2022.06,5,115,142.768,1.241,0.38,255,4.036
Station2,0point2,0point2,2022.11,5,88,116.311,1.322,0.31,255,4.138
Station2,0point2,0point2,2021.11,6,33,64.334,1.95,0.171,255,4.998
Station2,0point2,0point2,2021.07,6,40,50.754,1.269,0.135,255,3.863
Station2,0point2,0point2,2022.05,6,29,13.632,0.47,0.036,255,2.311
Station2,0point2,0point2,2022.06,6,89,139.49,1.567,0.371,255,4.571
Station2,0point2,0point2,2022.11,6,8,8.923,1.115,0.024,255,3.427
Station2,0point2,0point2,2021.11,7,33,54.995,1.667,0.146,255,4.835
Station2,0point2,0point2,2021.07,7,36,60.848,1.69,0.162,255,4.456
Station2,0point2,0point2,2022.05,7,6,5.281,0.88,0.014,255,3.666
Station2,0point2,0point2,2022.06,7,31,46.124,1.488,0.123,255,4.422
Station2,0point2,0point2,2022.11,7,131,205.827,1.571,0.548,255,4.764
Station2,0point2,0point2,2021.11,8,41,53.408,1.303,0.142,255,4.059
Station2,0point2,0point2,2021.07,8,5,3.876,0.775,0.01,255,3.123
Station2,0point2,0point2,2022.05,8,54,81.556,1.51,0.217,255,4.333
Station2,0point2,0point2,2022.06,8,116,104.501,0.901,0.278,255,3.923
Station2,0point2,0point2,2022.11,8,44,76.795,1.745,0.205,255,4.653
Station2,0point2,0point2,2021.11,9,13,20.864,1.605,0.056,255,4.435
Station2,0point2,0point2,2021.07,9,17,27.784,1.634,0.074,255,4.986
Station2,0point2,0point2,2022.05,9,132,133.039,1.008,0.354,255,3.866
Station2,0point2,0point2,2022.06,9,131,123.361,0.942,0.329,255,3.733
Station2,0point2,0point2,2022.11,9,38,58.793,1.547,0.157,255,4.439
Station2,AlcianBlue,Heavy,2022.02,1,31,32.83,1.059,0.087,255,3.734
Station2,AlcianBlue,Heavy,2022.02,10,22,25.442,1.156,0.068,255,3.865
Station2,AlcianBlue,Heavy,2022.02,11,43,52.575,1.223,0.14,255,3.926
Station2,AlcianBlue,Heavy,2022.02,12,25,30.229,1.209,0.08,255,3.747
Station2,AlcianBlue,Heavy,2022.02,13,22,32.128,1.46,0.086,255,4.098
Station2,AlcianBlue,Heavy,2022.02,14,32,37.435,1.17,0.1,255,3.884
Station2,AlcianBlue,Heavy,2022.02,15,24,31.686,1.32,0.084,255,4.153
Station2,AlcianBlue,Heavy,2022.02,16,9,16.077,1.786,0.043,255,4.923
Station2,AlcianBlue,Heavy,2022.02,17,63,49.688,0.789,0.132,255,3.051
Station2,AlcianBlue,Heavy,2022.02,18,3,5.593,1.864,0.015,255,4.856
Station2,AlcianBlue,Heavy,2022.02,19,44,68.08,1.547,0.181,255,4.457
Station2,AlcianBlue,Heavy,2022.02,2,12,13.502,1.125,0.036,255,3.944
Station2,AlcianBlue,Heavy,2022.02,20,50,50.234,1.005,0.134,255,3.468
Station2,AlcianBlue,Heavy,2022.02,21,7,16.701,2.386,0.044,255,5.321
Station2,AlcianBlue,Heavy,2022.02,22,36,40.557,1.127,0.108,255,3.737
Station2,AlcianBlue,Heavy,2022.02,23,44,53.486,1.216,0.142,255,3.941
Station2,AlcianBlue,Heavy,2022.02,24,19,22.477,1.183,0.06,255,3.74
Station2,AlcianBlue,Heavy,2022.02,25,46,46.436,1.009,0.124,255,3.508
Station2,AlcianBlue,Heavy,2022.02,26,49,61.524,1.256,0.164,255,3.96
Station2,AlcianBlue,Heavy,2022.02,27,17,25.884,1.523,0.069,255,4.414
Station2,AlcianBlue,Heavy,2022.02,28,32,30.463,0.952,0.081,255,3.318
Station2,AlcianBlue,Heavy,2022.02,29,7,12.149,1.736,0.032,255,4.494
Station2,AlcianBlue,Heavy,2022.02,3,16,26.301,1.644,0.07,255,4.897
Station2,AlcianBlue,Heavy,2022.02,30,24,31.92,1.33,0.085,255,4.008
Station2,AlcianBlue,Heavy,2022.02,31,32,33.689,1.053,0.09,255,3.559
Station2,AlcianBlue,Heavy,2022.02,32,41,31.712,0.773,0.084,255,2.981
Station2,AlcianBlue,Heavy,2022.02,33,39,48.101,1.233,0.128,255,3.957
Station2,AlcianBlue,Heavy,2022.02,4,16,23.205,1.45,0.062,255,4.192
Station2,AlcianBlue,Heavy,2022.02,5,16,20.499,1.281,0.055,255,3.811
Station2,AlcianBlue,Heavy,2022.02,6,17,24.246,1.426,0.065,255,4.066
Station2,AlcianBlue,Heavy,2022.02,7,21,28.044,1.335,0.075,255,4.063
Station2,AlcianBlue,Heavy,2022.02,8,39,50.832,1.303,0.135,255,4.08
Station2,AlcianBlue,Heavy,2022.02,9,58,57.076,0.984,0.152,255,3.487
Station2,AlcianBlue,Heavy,2021.11,1,19,32.856,1.729,0.087,255,4.706
Station2,AlcianBlue,Heavy,2021.11,10,3,8.377,2.792,0.022,255,8.1
Station2,AlcianBlue,Heavy,2021.11,11,7,16.571,2.367,0.044,255,7.046
Station2,AlcianBlue,Heavy,2021.11,12,4,9.573,2.393,0.025,255,5.034
Station2,AlcianBlue,Heavy,2021.11,13,25,31.061,1.242,0.083,255,3.932
Station2,AlcianBlue,Heavy,2021.11,14,10,12.825,1.283,0.034,255,3.972
Station2,AlcianBlue,Heavy,2021.11,15,17,28.434,1.673,0.076,255,4.822
Station2,AlcianBlue,Heavy,2021.11,16,0,0,NaN,0,NaN,NaN
Station2,AlcianBlue,Heavy,2021.11,17,7,8.195,1.171,0.022,255,4.108
Station2,AlcianBlue,Heavy,2021.11,18,8,9.912,1.239,0.026,255,4.405
Station2,AlcianBlue,Heavy,2021.11,19,1,1.795,1.795,0.005,255,4.806
Station2,AlcianBlue,Heavy,2021.11,2,4,2.315,0.579,0.006,255,2.574
Station2,AlcianBlue,Heavy,2021.11,20,2,4.605,2.302,0.012,255,5.432
Station2,AlcianBlue,Heavy,2021.11,21,10,15.245,1.524,0.041,255,4.588
Station2,AlcianBlue,Heavy,2021.11,22,4,10.588,2.647,0.028,255,6.287
Station2,AlcianBlue,Heavy,2021.11,23,2,4.917,2.458,0.013,255,5.727
Station2,AlcianBlue,Heavy,2021.11,24,1,1.041,1.041,0.003,255,3.705
Station2,AlcianBlue,Heavy,2021.11,25,2,4.527,2.263,0.012,255,5.499
Station2,AlcianBlue,Heavy,2021.11,26,8,10.952,1.369,0.029,255,3.92
Station2,AlcianBlue,Heavy,2021.11,27,4,8.195,2.049,0.022,255,4.944
Station2,AlcianBlue,Heavy,2021.11,28,11,9.573,0.87,0.025,255,3.32
Station2,AlcianBlue,Heavy,2021.11,29,3,3.512,1.171,0.009,255,3.432
Station2,AlcianBlue,Heavy,2021.11,3,2,3.096,1.548,0.008,255,5.601
Station2,AlcianBlue,Heavy,2021.11,30,8,12.825,1.603,0.034,255,4.365
Station2,AlcianBlue,Heavy,2021.11,31,4,3.954,0.989,0.011,255,3.538
Station2,AlcianBlue,Heavy,2021.11,32,25,39.62,1.585,0.106,255,4.577
Station2,AlcianBlue,Heavy,2021.11,33,14,16.103,1.15,0.043,255,4.132
Station2,AlcianBlue,Heavy,2021.11,34,13,11.759,0.905,0.031,255,3.548
Station2,AlcianBlue,Heavy,2021.11,35,5,10.328,2.066,0.028,255,4.973
Station2,AlcianBlue,Heavy,2021.11,36,1,0.39,0.39,0.001,255,2.108
Station2,AlcianBlue,Heavy,2021.11,37,7,9.547,1.364,0.025,255,4.425
Station2,AlcianBlue,Heavy,2021.11,38,37,44.173,1.194,0.118,255,3.991
Station2,AlcianBlue,Heavy,2021.11,39,1,3.044,3.044,0.008,255,6.686
Station2,AlcianBlue,Heavy,2021.11,4,6,8.169,1.361,0.022,255,3.86
Station2,AlcianBlue,Heavy,2021.11,40,8,9.027,1.128,0.024,255,3.612
Station2,AlcianBlue,Heavy,2021.11,41,28,25.468,0.91,0.068,255,3.396
Station2,AlcianBlue,Heavy,2021.11,42,58,64.646,1.115,0.172,255,3.718
Station2,AlcianBlue,Heavy,2021.11,43,55,70.473,1.281,0.188,255,4.029
Station2,AlcianBlue,Heavy,2021.11,44,16,19.303,1.206,0.051,255,3.732
Station2,AlcianBlue,Heavy,2021.11,5,2,1.041,0.52,0.003,255,2.517
Station2,AlcianBlue,Heavy,2021.11,6,2,3.382,1.691,0.009,255,4.692
Station2,AlcianBlue,Heavy,2021.11,7,8,9.834,1.229,0.026,255,3.828
Station2,AlcianBlue,Heavy,2021.11,8,9,15.947,1.772,0.042,255,4.513
Station2,AlcianBlue,Heavy,2021.11,9,1,0.598,0.598,0.002,255,2.659
Station2,AlcianBlue,Heavy,2021.07,1,14,24.35,1.739,0.065,255,5.157
Station2,AlcianBlue,Heavy,2021.07,10,2,4.24,2.12,0.011,255,5.034
Station2,AlcianBlue,Heavy,2021.07,11,18,22.242,1.236,0.059,255,4.191
Station2,AlcianBlue,Heavy,2021.07,12,4,4.11,1.028,0.011,255,3.776
Station2,AlcianBlue,Heavy,2021.07,14,2,1.873,0.937,0.005,255,4.208
Station2,AlcianBlue,Heavy,2021.07,15,4,3.096,0.774,0.008,255,3.567
Station2,AlcianBlue,Heavy,2021.07,16,2,1.847,0.924,0.005,255,4.322
Station2,AlcianBlue,Heavy,2021.07,17,0,0,NaN,0,NaN,NaN
Station2,AlcianBlue,Heavy,2021.07,18,8,12.383,1.548,0.033,255,4.996
Station2,AlcianBlue,Heavy,2021.07,19,2,0.728,0.364,0.002,255,2.261
Station2,AlcianBlue,Heavy,2021.07,2,6,5.619,0.937,0.015,255,4.3
Station2,AlcianBlue,Heavy,2021.07,20,8,7.778,0.972,0.021,255,3.55
Station2,AlcianBlue,Heavy,2021.07,21,7,8.065,1.152,0.021,255,3.769
Station2,AlcianBlue,Heavy,2021.07,22,11,8.117,0.738,0.022,255,3.029
Station2,AlcianBlue,Heavy,2021.07,23,5,5.801,1.16,0.015,255,3.822
Station2,AlcianBlue,Heavy,2021.07,25,8,13.658,1.707,0.036,255,4.664
Station2,AlcianBlue,Heavy,2021.07,27,17,22.867,1.345,0.061,255,4.02
Station2,AlcianBlue,Heavy,2021.07,28,22,33.221,1.51,0.088,255,4.265
Station2,AlcianBlue,Heavy,2021.07,29,9,14.88,1.653,0.04,255,5.08
Station2,AlcianBlue,Heavy,2021.07,3,6,16.025,2.671,0.043,255,5.984
Station2,AlcianBlue,Heavy,2021.07,30,22,31.79,1.445,0.085,255,4.424
Station2,AlcianBlue,Heavy,2021.07,32,24,39.88,1.662,0.106,255,4.764
Station2,AlcianBlue,Heavy,2021.07,33,8,15.531,1.941,0.041,255,4.961
Station2,AlcianBlue,Heavy,2021.07,34,13,17.482,1.345,0.047,255,3.868
Station2,AlcianBlue,Heavy,2021.07,35,5,3.226,0.645,0.009,255,3.01
Station2,AlcianBlue,Heavy,2021.07,37,13,15.895,1.223,0.042,255,3.666
Station2,AlcianBlue,Heavy,2021.07,38,13,14.334,1.103,0.038,255,4.087
Station2,AlcianBlue,Heavy,2021.07,39,8,21.202,2.65,0.056,255,6.282
Station2,AlcianBlue,Heavy,2021.07,4,4,5.463,1.366,0.015,255,4.037
Station2,AlcianBlue,Heavy,2021.07,41,13,21.332,1.641,0.057,255,4.757
Station2,AlcianBlue,Heavy,2021.07,5,13,13.371,1.029,0.036,255,3.632
Station2,AlcianBlue,Heavy,2021.07,6,3,2.107,0.702,0.006,255,3.141
Station2,AlcianBlue,Heavy,2021.07,7,4,5.853,1.463,0.016,255,4.051
Station2,AlcianBlue,Heavy,2021.07,8,13,16.025,1.233,0.043,255,4.171
Station2,AlcianBlue,Heavy,2021.07,9,28,22.607,0.807,0.06,255,3.858
Station2,AlcianBlue,Heavy,2022.05,1,8,12.591,1.574,0.034,255,4.689
Station2,AlcianBlue,Heavy,2022.05,2,11,25.026,2.275,0.067,255,6.177
Station2,AlcianBlue,Heavy,2022.05,3,6,12.487,2.081,0.033,255,5.17
Station2,AlcianBlue,Heavy,2022.05,4,18,37.409,2.078,0.1,255,5.144
Station2,AlcianBlue,Heavy,2022.05,5,22,29.136,1.324,0.078,255,4.174
Station2,AlcianBlue,Heavy,2022.05,6,9,14.984,1.665,0.04,255,4.743
Station2,AlcianBlue,Heavy,2022.05,7,18,20.109,1.117,0.054,255,3.695
Station2,AlcianBlue,Heavy,2022.05,8,19,21.28,1.12,0.057,255,3.738
Station2,AlcianBlue,Heavy,2022.05,9,29,53.304,1.838,0.142,255,5.011
Station2,AlcianBlue,Heavy,2022.05,10,19,35.536,1.87,0.095,255,4.861
Station2,AlcianBlue,Heavy,2022.05,11,28,42.924,1.533,0.114,255,4.186
Station2,AlcianBlue,Heavy,2022.05,12,6,9.781,1.63,0.026,255,4.593
Station2,AlcianBlue,Heavy,2022.05,13,30,44.875,1.496,0.119,255,4.154
Station2,AlcianBlue,Heavy,2022.05,14,7,11.342,1.62,0.03,255,4.697
Station2,AlcianBlue,Heavy,2022.05,15,31,46.852,1.511,0.125,255,4.768
Station2,AlcianBlue,Heavy,2022.05,16,21,38.111,1.815,0.101,255,4.844
Station2,AlcianBlue,Heavy,2022.05,17,23,44.641,1.941,0.119,255,5.048
Station2,AlcianBlue,Heavy,2022.05,18,3,4.553,1.518,0.012,255,4.363
Station2,AlcianBlue,Heavy,2022.05,19,26,41.415,1.593,0.11,255,4.424
Station2,AlcianBlue,Heavy,2022.05,20,35,36.837,1.052,0.098,255,3.519
Station2,AlcianBlue,Heavy,2022.05,21,16,39.646,2.478,0.106,255,5.789
Station2,AlcianBlue,Heavy,2022.05,22,1,2.081,2.081,0.006,255,5.357
Station2,AlcianBlue,Heavy,2022.05,23,5,7.544,1.509,0.02,255,3.955
Station2,AlcianBlue,Heavy,2022.06,1,7,7.804,1.115,0.021,255,3.721
Station2,AlcianBlue,Heavy,2022.06,2,43,45.525,1.059,0.121,255,3.615
Station2,AlcianBlue,Heavy,2022.06,3,16,16.857,1.054,0.045,255,3.568
Station2,AlcianBlue,Heavy,2022.06,4,19,19.979,1.052,0.053,255,3.519
Station2,AlcianBlue,Heavy,2022.06,5,8,7.648,0.956,0.02,255,3.375
