Station,Condition,Fraction,Date,ImageNumber,Count,Total_Area,Average_Size,Perc_Area,Perim
Station3,0point2,0point2,2022.02,5,22,632.492,28.75,1.684,23.033
Station3,0point2,0point2,2022.02,6,23,939.828,40.862,2.503,29.105
Station3,0point2,0point2,2022.02,7,27,570.63,21.134,1.52,20.08
Station3,0point2,0point2,2022.02,8,21,313.762,14.941,0.836,17.245
Station3,0point2,0point2,2022.02,9,19,316.571,16.662,0.843,20.567
Station4,0point2,0point2,2022.02,1,16,198.595,12.412,0.529,23.77
Station4,0point2,0point2,2022.02,10,3,102.627,34.209,0.273,26.583
Station4,0point2,0point2,2022.02,11,1,21.904,21.904,0.058,51.256
Station4,0point2,0point2,2022.02,12,3,82.206,27.402,0.219,32.191
Station4,0point2,0point2,2022.02,13,2,56.113,28.057,0.149,88.506
Station4,0point2,0point2,2022.02,14,0,0,NaN,0,NaN
Station4,0point2,0point2,2022.02,15,4,70.994,17.748,0.189,24.242
Station4,0point2,0point2,2022.02,16,5,75.937,15.187,0.202,26.951
Station4,0point2,0point2,2022.02,17,40,26852.523,671.313,71.507,168.654
Station4,0point2,0point2,2022.02,18,4,29.917,7.479,0.08,21.681
Station4,0point2,0point2,2022.02,19,3,25.911,8.637,0.069,27.369
Station4,0point2,0point2,2022.02,2,16,875.364,54.71,2.331,60.495
Station4,0point2,0point2,2022.02,20,10,151.379,15.138,0.403,43.906
Station4,0point2,0point2,2022.02,21,1,30.073,30.073,0.08,29.066
Station4,0point2,0point2,2022.02,22,2,42.716,21.358,0.114,21.483
Station4,0point2,0point2,2022.02,23,6,72.347,12.058,0.193,24.33
Station4,0point2,0point2,2022.02,3,3,51.951,17.317,0.138,35.417
Station4,0point2,0point2,2022.02,4,4,2813.293,703.323,7.492,150.227
Station4,0point2,0point2,2022.02,5,2,36.472,18.236,0.097,15.576
Station4,0point2,0point2,2022.02,6,4,59.287,14.822,0.158,20.792
Station4,0point2,0point2,2022.02,7,6,248.803,41.467,0.663,31.194
Station4,0point2,0point2,2022.02,8,2,14.308,7.154,0.038,22.029
Station4,0point2,0point2,2022.02,9,2,304.891,152.445,0.812,102.104
Station5,0point2,0point2,2022.02,1,31,552.627,17.827,1.472,22.648
Station5,0point2,0point2,2022.02,10,46,489.412,10.639,1.303,16.671
Station5,0point2,0point2,2022.02,11,15,136.993,9.133,0.365,14.804
Station5,0point2,0point2,2022.02,12,52,807.388,15.527,2.15,20.744
Station5,0point2,0point2,2022.02,13,49,842.716,17.198,2.244,20.192
Station5,0point2,0point2,2022.02,14,42,661.004,15.738,1.76,19.868
Station5,0point2,0point2,2022.02,15,55,853.72,15.522,2.273,21.469
Station5,0point2,0point2,2022.02,16,28,290.895,10.389,0.775,16.625
Station5,0point2,0point2,2022.02,17,54,699.428,12.952,1.863,17.962
Station5,0point2,0point2,2022.02,18,36,720.76,20.021,1.919,21.417
Station5,0point2,0point2,2022.02,19,38,624.48,16.434,1.663,20.591
Station5,0point2,0point2,2022.02,2,51,594.173,11.65,1.582,17.274
Station5,0point2,0point2,2022.02,20,58,718.652,12.391,1.914,17.016
Station5,0point2,0point2,2022.02,21,41,497.685,12.139,1.325,17.679
Station5,0point2,0point2,2022.02,22,43,683.767,15.902,1.821,18.198
Station5,0point2,0point2,2022.02,23,29,423.023,14.587,1.126,19.07
Station5,0point2,0point2,2022.02,24,49,745.916,15.223,1.986,19.643
Station5,0point2,0point2,2022.02,25,43,861.993,20.046,2.295,21.93
Station5,0point2,0point2,2022.02,26,38,501.223,13.19,1.335,17.615
Station5,0point2,0point2,2022.02,27,28,330.827,11.815,0.881,19.796
Station5,0point2,0point2,2022.02,28,36,431.634,11.99,1.149,17.544
Station5,0point2,0point2,2022.02,29,41,722.789,17.629,1.925,20.6
Station5,0point2,0point2,2022.02,3,53,765.166,14.437,2.038,17.289
Station5,0point2,0point2,2022.02,30,34,421.982,12.411,1.124,17.789
Station5,0point2,0point2,2022.02,31,33,1173.751,35.568,3.126,22.559
Station5,0point2,0point2,2022.02,32,51,564.75,11.074,1.504,16.272
Station5,0point2,0point2,2022.02,33,29,905.333,31.218,2.411,25.085
Station5,0point2,0point2,2022.02,34,47,674.376,14.348,1.796,18.585
Station5,0point2,0point2,2022.02,4,54,946.696,17.531,2.521,21.289
Station5,0point2,0point2,2022.02,5,48,655.463,13.655,1.745,18.932
Station5,0point2,0point2,2022.02,6,21,222.815,10.61,0.593,16.989
Station5,0point2,0point2,2022.02,7,53,703.746,13.278,1.874,17.388
Station5,0point2,0point2,2022.02,8,69,991.441,14.369,2.64,19.315
Station5,0point2,0point2,2022.02,9,60,906.061,15.101,2.413,20.932
Station6,0point2,0point2,2022.02,1,26,295.031,11.347,0.786,14.875
Station6,0point2,0point2,2022.02,10,23,294.069,12.786,0.783,19.068
Station6,0point2,0point2,2022.02,11,25,339.984,13.599,0.905,17.804
Station6,0point2,0point2,2022.02,12,50,538.059,10.761,1.433,19.919
Station6,0point2,0point2,2022.02,13,24,384.469,16.02,1.024,21.087
Station6,0point2,0point2,2022.02,14,29,338.007,11.655,0.9,16.514
Station6,0point2,0point2,2022.02,15,27,385.068,14.262,1.025,20.335
Station6,0point2,0point2,2022.02,16,49,582.102,11.88,1.55,20.632
Station6,0point2,0point2,2022.02,17,34,564.282,16.597,1.503,20.361
Station6,0point2,0point2,2022.02,18,39,849.74,21.788,2.263,24.06
Station6,0point2,0point2,2022.02,19,27,510.302,18.9,1.359,24.608
Station6,0point2,0point2,2022.02,2,73,1420.265,19.456,3.782,26.903
Station6,0point2,0point2,2022.02,20,44,546.332,12.417,1.455,18.396
Station6,0point2,0point2,2022.02,21,59,796.02,13.492,2.12,21.268
Station6,0point2,0point2,2022.02,22,23,918.652,39.941,2.446,25.951
Station6,0point2,0point2,2022.02,23,13,197.164,15.166,0.525,21.627
Station6,0point2,0point2,2022.02,24,25,312.331,12.493,0.832,16.056
Station6,0point2,0point2,2022.02,25,27,337.487,12.5,0.899,16.512
Station6,0point2,0point2,2022.02,26,31,668.626,21.569,1.781,24.773
Station6,0point2,0point2,2022.02,27,21,410.666,19.556,1.094,25.846
Station6,0point2,0point2,2022.02,28,18,193.002,10.722,0.514,17.869
Station6,0point2,0point2,2022.02,29,23,389.048,16.915,1.036,23.065
Station6,0point2,0point2,2022.02,3,36,998.231,27.729,2.658,29.915
Station6,0point2,0point2,2022.02,30,4,64.49,16.123,0.172,18.197
Station6,0point2,0point2,2022.02,31,6,72.008,12.001,0.192,18.313
Station6,0point2,0point2,2022.02,32,13,280.801,21.6,0.748,26.586
Station6,0point2,0point2,2022.02,33,37,549.324,14.847,1.463,19.056
Station6,0point2,0point2,2022.02,4,14,312.409,22.315,0.832,20.715
Station6,0point2,0point2,2022.02,5,14,272.399,19.457,0.725,20.026
Station6,0point2,0point2,2022.02,6,6,111.967,18.661,0.298,22.043
Station6,0point2,0point2,2022.02,7,104,1497.919,14.403,3.989,23.013
Station6,0point2,0point2,2022.02,8,16,205.931,12.871,0.548,17.758
Station6,0point2,0point2,2022.02,9,16,260.146,16.259,0.693,19.069
Station2,0point2,0point2,2021.11,1,4,28.278,7.069,0.075,15.241
Station2,0point2,0point2,2021.11,10,10,194.693,19.469,0.518,34.333
Station2,0point2,0point2,2021.11,11,3,66.467,22.156,0.177,21.422
Station2,0point2,0point2,2021.11,12,5,83.819,16.764,0.223,27.235
Station2,0point2,0point2,2021.11,13,4,85.536,21.384,0.228,42.863
Station2,0point2,0point2,2021.11,14,5,271.046,54.209,0.722,60.614
Station2,0point2,0point2,2021.11,15,7,428.174,61.168,1.14,47.702
Station2,0point2,0point2,2021.11,16,6,73.439,12.24,0.196,28.496
Station2,0point2,0point2,2021.11,17,7,177.341,25.334,0.472,33.073
Station2,0point2,0point2,2021.11,18,8,252.081,31.51,0.671,40.073
Station2,0point2,0point2,2021.11,19,3,169.641,56.547,0.452,61.084
Station2,0point2,0point2,2021.11,2,5,301.899,60.38,0.804,33.684
Station2,0point2,0point2,2021.11,20,3,24.766,8.255,0.066,15.94
Station2,0point2,0point2,2021.11,21,8,199.61,24.951,0.532,36.932
Station2,0point2,0point2,2021.11,22,7,284.521,40.646,0.758,35.256
Station2,0point2,0point2,2021.11,23,6,97.138,16.19,0.259,28.174
Station2,0point2,0point2,2021.11,24,18,925.936,51.441,2.466,51.109
Station2,0point2,0point2,2021.11,25,4,60.406,15.101,0.161,25.237
Station2,0point2,0point2,2021.11,26,4,41.597,10.399,0.111,20.749
Station2,0point2,0point2,2021.11,27,4,101.171,25.293,0.269,31.299
Station2,0point2,0point2,2021.11,28,6,60.302,10.05,0.161,18.745
Station2,0point2,0point2,2021.11,29,4,49.922,12.48,0.133,23.467
Station2,0point2,0point2,2021.11,3,5,64.724,12.945,0.172,23.325
Station2,0point2,0point2,2021.11,30,4,43.757,10.939,0.117,20.208
Station2,0point2,0point2,2021.11,31,10,318.574,31.857,0.848,32.586
Station2,0point2,0point2,2021.11,32,2,32.284,16.142,0.086,22.694
Station2,0point2,0point2,2021.11,33,0,0,NaN,0,NaN
Station2,0point2,0point2,2021.11,34,6,95.317,15.886,0.254,33.433
Station2,0point2,0point2,2021.11,35,5,321.696,64.339,0.857,43.437
Station2,0point2,0point2,2021.11,36,3,54.657,18.219,0.146,26.885
Station2,0point2,0point2,2021.11,37,8,575.026,71.878,1.531,46.156
Station2,0point2,0point2,2021.11,38,8,96.696,12.087,0.257,27.265
Station2,0point2,0point2,2021.11,39,8,102.185,12.773,0.272,26.242
Station2,0point2,0point2,2021.11,4,5,85.198,17.04,0.227,33.58
Station2,0point2,0point2,2021.11,40,7,87.721,12.532,0.234,16.418
Station2,0point2,0point2,2021.11,41,2,12.461,6.23,0.033,13.423
Station2,0point2,0point2,2021.11,42,5,64.568,12.914,0.172,17.787
Station2,0point2,0point2,2021.11,43,17,1020.942,60.055,2.719,53.33
Station2,0point2,0point2,2021.11,44,4,43.73,10.933,0.116,20.039
Station2,0point2,0point2,2021.11,45,6,149.22,24.87,0.397,31.402
Station2,0point2,0point2,2021.11,46,1,15.14,15.14,0.04,17
Station2,0point2,0point2,2021.11,47,4,39.048,9.762,0.104,18.204
Station2,0point2,0point2,2021.11,48,8,97.216,12.152,0.259,21.502
Station2,0point2,0point2,2021.11,49,6,212.279,35.38,0.565,24.696
Station2,0point2,0point2,2021.11,5,2,21.852,10.926,0.058,14.179
Station2,0point2,0point2,2021.11,6,7,85.094,12.156,0.227,21.516
Station2,0point2,0point2,2021.11,7,7,67.742,9.677,0.18,16.951
Station2,0point2,0point2,2021.11,8,8,190.583,23.823,0.508,38.768
Station2,0point2,0point2,2021.11,9,10,785.068,78.507,2.091,60.709
Station4,0point2,0point2,2021.11,1,2,13.007,6.504,0.035,11.331
Station4,0point2,0point2,2021.11,10,36,1082.544,30.071,2.883,28.301
Station4,0point2,0point2,2021.11,11,25,711.759,28.47,1.895,28.906
Station4,0point2,0point2,2021.11,12,22,355.307,16.15,0.946,21.269
Station4,0point2,0point2,2021.11,13,20,463.033,23.152,1.233,27.212
Station4,0point2,0point2,2021.11,14,17,328.902,19.347,0.876,26.729
Station4,0point2,0point2,2021.11,15,0,0,NaN,0,NaN
Station4,0point2,0point2,2021.11,16,20,753.356,37.668,2.006,35.603
Station4,0point2,0point2,2021.11,17,25,350.286,14.011,0.933,23.582
Station4,0point2,0point2,2021.11,18,26,514.386,19.784,1.37,22.332
Station4,0point2,0point2,2021.11,19,37,1269.797,34.319,3.381,34.51
Station4,0point2,0point2,2021.11,2,29,502.081,17.313,1.337,24.429
Station4,0point2,0point2,2021.11,20,27,461.655,17.098,1.229,22.928
Station4,0point2,0point2,2021.11,21,21,327.289,15.585,0.872,21.969
Station4,0point2,0point2,2021.11,22,20,206.842,10.342,0.551,21.26
Station4,0point2,0point2,2021.11,23,30,555.047,18.502,1.478,27.76
Station4,0point2,0point2,2021.11,24,23,385.354,16.755,1.026,24.389
Station4,0point2,0point2,2021.11,25,26,428.876,16.495,1.142,23.513
Station4,0point2,0point2,2021.11,26,21,352.393,16.781,0.938,26.671
Station4,0point2,0point2,2021.11,27,28,886.655,31.666,2.361,41.305
Station4,0point2,0point2,2021.11,28,19,243.887,12.836,0.649,21.28
Station4,0point2,0point2,2021.11,29,7,75.78,10.826,0.202,14.71
Station4,0point2,0point2,2021.11,3,61,1853.122,30.379,4.935,29.939
Station4,0point2,0point2,2021.11,30,40,849.662,21.242,2.263,29.43
Station4,0point2,0point2,2021.11,31,35,915.921,26.169,2.439,28.324
Station4,0point2,0point2,2021.11,32,23,285.094,12.395,0.759,19.454
Station4,0point2,0point2,2021.11,33,26,1078.46,41.479,2.872,44.766
Station4,0point2,0point2,2021.11,34,29,1057.7,36.472,2.817,36.312
Station4,0point2,0point2,2021.11,35,20,311.785,15.589,0.83,21.151
Station4,0point2,0point2,2021.11,36,29,599.324,20.666,1.596,28.962
Station4,0point2,0point2,2021.11,37,22,315.479,14.34,0.84,21.017
Station4,0point2,0point2,2021.11,38,29,1204.475,41.534,3.207,34.838
Station4,0point2,0point2,2021.11,39,21,410.276,19.537,1.093,24.072
Station4,0point2,0point2,2021.11,4,32,483.325,15.104,1.287,25.238
Station4,0point2,0point2,2021.11,40,24,447.373,18.641,1.191,23.739
Station4,0point2,0point2,2021.11,41,22,281.608,12.8,0.75,18.974
Station4,0point2,0point2,2021.11,42,17,246.358,14.492,0.656,22.041
Station4,0point2,0point2,2021.11,43,55,822.008,14.946,2.189,22.713
Station4,0point2,0point2,2021.11,44,27,652.393,24.163,1.737,28.383
Station4,0point2,0point2,2021.11,45,28,765.453,27.338,2.038,28.038
Station4,0point2,0point2,2021.11,46,32,1035.016,32.344,2.756,31.991
Station4,0point2,0point2,2021.11,47,28,942.482,33.66,2.51,27.721
Station4,0point2,0point2,2021.11,48,27,654.761,24.25,1.744,33.808
Station4,0point2,0point2,2021.11,5,38,752.289,19.797,2.003,25.865
Station4,0point2,0point2,2021.11,6,33,570.031,17.274,1.518,25.7
Station4,0point2,0point2,2021.11,7,3,37.981,12.66,0.101,18.748
Station4,0point2,0point2,2021.11,8,19,394.433,20.76,1.05,30.261
Station4,0point2,0point2,2021.11,9,24,435.354,18.14,1.159,23.127
Station2,0point2,0point2,2021.07,1,8,186.655,23.332,0.497,22.453
Station2,0point2,0point2,2021.07,10,9,189.022,21.002,0.503,30.256
Station2,0point2,0point2,2021.07,11,10,157.102,15.71,0.418,28.426
Station2,0point2,0point2,2021.07,12,18,546.852,30.381,1.456,36.063
Station2,0point2,0point2,2021.07,13,7,144.823,20.689,0.386,29.06
Station2,0point2,0point2,2021.07,14,18,828.512,46.028,2.206,37.516
Station2,0point2,0point2,2021.07,15,10,161.108,16.111,0.429,22.261
Station2,0point2,0point2,2021.07,16,5,127.159,25.432,0.339,27.653
Station2,0point2,0point2,2021.07,17,10,314.074,31.407,0.836,43.466
Station2,0point2,0point2,2021.07,18,8,162.123,20.265,0.432,25.508
Station2,0point2,0point2,2021.07,19,9,248.283,27.587,0.661,32.926
Station2,0point2,0point2,2021.07,2,7,120.317,17.188,0.32,25.363
Station2,0point2,0point2,2021.07,20,6,67.768,11.295,0.18,17.6
Station2,0point2,0point2,2021.07,21,7,197.008,28.144,0.525,28.179
Station2,0point2,0point2,2021.07,22,6,280.645,46.774,0.747,27.365
Station2,0point2,0point2,2021.07,23,1,139.308,139.308,0.371,51.862
Station2,0point2,0point2,2021.07,24,7,158.507,22.644,0.422,21.798
Station2,0point2,0point2,2021.07,25,11,551.015,50.092,1.467,36.04
Station2,0point2,0point2,2021.07,26,12,224.766,18.73,0.599,30.517
Station2,0point2,0point2,2021.07,27,10,123.335,12.334,0.328,17.341
Station2,0point2,0point2,2021.07,3,0,0,NaN,0,NaN
Station2,0point2,0point2,2021.07,4,7,276.483,39.498,0.736,33.971
Station2,0point2,0point2,2021.07,5,5,123.517,24.703,0.329,32.625
Station2,0point2,0point2,2021.07,6,5,148.777,29.755,0.396,25.537
Station2,0point2,0point2,2021.07,7,15,557.544,37.17,1.485,40.994
Station2,0point2,0point2,2021.07,8,9,129.527,14.392,0.345,36.662
Station2,0point2,0point2,2021.07,9,12,224.246,18.687,0.597,26.927
Station3,0point2,0point2,2021.07,1,10,116.623,11.662,0.311,16.046
Station3,0point2,0point2,2021.07,10,13,547.164,42.09,1.457,27.494
Station3,0point2,0point2,2021.07,11,13,279.266,21.482,0.744,22.695
Station3,0point2,0point2,2021.07,12,23,476.327,20.71,1.268,22.802
Station3,0point2,0point2,2021.07,13,11,267.456,24.314,0.712,25.079
Station3,0point2,0point2,2021.07,14,15,214.984,14.332,0.572,15.806
Station3,0point2,0point2,2021.07,15,16,713.918,44.62,1.901,34.239
Station3,0point2,0point2,2021.07,16,15,373.127,24.875,0.994,25.641
Station3,0point2,0point2,2021.07,17,16,267.716,16.732,0.713,21.773
Station3,0point2,0point2,2021.07,18,11,322.086,29.281,0.858,26.7
Station3,0point2,0point2,2021.07,19,8,139.906,17.488,0.373,19.467
Station3,0point2,0point2,2021.07,2,8,156.92,19.615,0.418,21.412
Station3,0point2,0point2,2021.07,20,10,1164.386,116.439,3.101,54.188
Station3,0point2,0point2,2021.07,21,6,303.876,50.646,0.809,31.548
Station3,0point2,0point2,2021.07,22,13,199.194,15.323,0.53,17.978
Station3,0point2,0point2,2021.07,23,8,76.405,9.551,0.203,16.327
Station3,0point2,0point2,2021.07,24,8,152.732,19.091,0.407,21.051
Station3,0point2,0point2,2021.07,25,14,213.814,15.272,0.569,17.394
Station3,0point2,0point2,2021.07,26,11,185.874,16.898,0.495,18.251
Station3,0point2,0point2,2021.07,27,4,90.479,22.62,0.241,27.011
Station3,0point2,0point2,2021.07,3,11,175.39,15.945,0.467,21.028
Station3,0point2,0point2,2021.07,4,11,223.517,20.32,0.595,20.371
Station3,0point2,0point2,2021.07,5,23,861.446,37.454,2.294,39.425
Station3,0point2,0point2,2021.07,6,9,99.011,11.001,0.264,15.236
Station3,0point2,0point2,2021.07,7,19,397.815,20.938,1.059,26.553
Station3,0point2,0point2,2021.07,8,15,172.763,11.518,0.46,15.108
Station3,0point2,0point2,2021.07,9,15,223.309,14.887,0.595,16.674
Station4,0point2,0point2,2021.07,1,9,236.863,26.318,0.631,25.77
Station4,0point2,0point2,2021.07,11,12,236.29,19.691,0.629,27.548
Station4,0point2,0point2,2021.07,14,10,1376.327,137.633,3.665,58.874
Station4,0point2,0point2,2021.07,15,20,396.904,19.845,1.057,21.725
Station4,0point2,0point2,2021.07,17,14,371.098,26.507,0.988,24.591
Station4,0point2,0point2,2021.07,18,13,158.819,12.217,0.423,18.477
Station4,0point2,0point2,2021.07,19,13,284.261,21.866,0.757,25.742
Station4,0point2,0point2,2021.07,2,8,155.853,19.482,0.415,23.978
Station4,0point2,0point2,2021.07,21,11,288.996,26.272,0.77,30.222
Station4,0point2,0point2,2021.07,22,8,188.319,23.54,0.501,28.444
Station4,0point2,0point2,2021.07,24,13,228.174,17.552,0.608,17.847
Station4,0point2,0point2,2021.07,25,13,279.292,21.484,0.744,22.714
Station4,0point2,0point2,2021.07,26,8,344.979,43.122,0.919,42.348
Station4,0point2,0point2,2021.07,29,10,186.004,18.6,0.495,20.124
Station4,0point2,0point2,2021.07,3,8,142.3,17.787,0.379,16.418
Station4,0point2,0point2,2021.07,31,13,329.058,25.312,0.876,23.367
Station4,0point2,0point2,2021.07,32,11,148.751,13.523,0.396,19.199
Station4,0point2,0point2,2021.07,7,12,201.977,16.831,0.538,22.959
Station4,0point2,0point2,2021.07,8,15,274.688,18.313,0.731,21.705
Station4,0point2,0point2,2021.07,9,10,204.631,20.463,0.545,20.214
Station5,0point2,0point2,2021.07,1,11,518.704,47.155,1.381,35.086
Station5,0point2,0point2,2021.07,10,22,636.967,28.953,1.696,31.999
Station5,0point2,0point2,2021.07,11,23,632.258,27.489,1.684,35.774
Station5,0point2,0point2,2021.07,13,19,453.07,23.846,1.206,24.487
Station5,0point2,0point2,2021.07,14,26,522.867,20.11,1.392,29.098
Station5,0point2,0point2,2021.07,15,26,509.729,19.605,1.357,29.906
Station5,0point2,0point2,2021.07,16,29,589.62,20.332,1.57,26.672
Station5,0point2,0point2,2021.07,17,27,550.598,20.393,1.466,26.648
Station5,0point2,0point2,2021.07,18,15,263.814,17.588,0.703,24.089
Station5,0point2,0point2,2021.07,19,21,456.27,21.727,1.215,26.742
Station5,0point2,0point2,2021.07,2,50,2000.13,40.003,5.326,32.997
Station5,0point2,0point2,2021.07,20,24,393.418,16.392,1.048,24.76
Station5,0point2,0point2,2021.07,21,18,457.024,25.39,1.217,27.384
Station5,0point2,0point2,2021.07,22,18,527.211,29.29,1.404,27.807
Station5,0point2,0point2,2021.07,23,33,1754.709,53.173,4.673,33.446
Station5,0point2,0point2,2021.07,24,22,826.223,37.556,2.2,37.174
Station5,0point2,0point2,2021.07,25,15,579.683,38.646,1.544,34.528
Station5,0point2,0point2,2021.07,26,10,438.267,43.827,1.167,35.383
Station5,0point2,0point2,2021.07,27,11,420.031,38.185,1.119,31.982
Station5,0point2,0point2,2021.07,28,18,281.53,15.641,0.75,18.728
Station5,0point2,0point2,2021.07,29,34,617.976,18.176,1.646,24.515
Station5,0point2,0point2,2021.07,3,48,1328.2,27.671,3.537,26.608
Station5,0point2,0point2,2021.07,30,25,1159.235,46.369,3.087,50.102
Station5,0point2,0point2,2021.07,4,35,1136.238,32.464,3.026,30.971
Station5,0point2,0point2,2021.07,5,30,752.966,25.099,2.005,27.683
Station5,0point2,0point2,2021.07,6,16,425.364,26.585,1.133,31.847
Station5,0point2,0point2,2021.07,7,23,496.228,21.575,1.321,26.7
Station5,0point2,0point2,2021.07,8,27,718.444,26.609,1.913,30.881
Station5,0point2,0point2,2021.07,9,36,1295.369,35.982,3.449,34.446
Station6,0point2,0point2,2021.07,1,6,116.597,19.433,0.31,29.795
Station6,0point2,0point2,2021.07,10,6,91.597,15.266,0.244,20.814
Station6,0point2,0point2,2021.07,11,5,60.692,12.138,0.162,19.071
Station6,0point2,0point2,2021.07,12,3,19.719,6.573,0.053,11.917
Station6,0point2,0point2,2021.07,13,4,52.289,13.072,0.139,17.263
Station6,0point2,0point2,2021.07,14,6,149.584,24.931,0.398,26.83
Station6,0point2,0point2,2021.07,15,2,39.932,19.966,0.106,24.999
Station6,0point2,0point2,2021.07,16,14,227.966,16.283,0.607,24.017
Station6,0point2,0point2,2021.07,17,10,199.22,19.922,0.531,33.185
Station6,0point2,0point2,2021.07,18,3,26.405,8.802,0.07,17.757
Station6,0point2,0point2,2021.07,19,7,118.132,16.876,0.315,17.911
Station6,0point2,0point2,2021.07,2,7,71.254,10.179,0.19,18.971
Station6,0point2,0point2,2021.07,20,4,229.422,57.356,0.611,30.016
Station6,0point2,0point2,2021.07,21,3,17.3,5.767,0.046,12.298
Station6,0point2,0point2,2021.07,22,3,134.729,44.91,0.359,38.367
Station6,0point2,0point2,2021.07,23,4,60.978,15.245,0.162,27.29
Station6,0point2,0point2,2021.07,24,4,29.839,7.46,0.079,22.366
Station6,0point2,0point2,2021.07,25,6,160.822,26.804,0.428,29.825
Station6,0point2,0point2,2021.07,26,7,103.85,14.836,0.277,24.203
Station6,0point2,0point2,2021.07,27,6,211.837,35.306,0.564,32.699
Station6,0point2,0point2,2021.07,28,6,84.261,14.044,0.224,18.81
Station6,0point2,0point2,2021.07,3,9,349.896,38.877,0.932,46.079
Station6,0point2,0point2,2021.07,4,6,170.708,28.451,0.455,33.644
Station6,0point2,0point2,2021.07,5,5,49.714,9.943,0.132,14.232
