Station,CorrectionFor,Fraction,Date,ImageNumber,Count,Total_Area,Average_Size,Perc_Area,Perim
Station2,CBBG,Heavy,2022.02,24,1,23.231,23.231,0.062,19.541
Station2,AlcianBlue,Heavy,2022.02,24,1,28.616,28.616,0.076,20.854
Station2,CBBG,Heavy,2022.02,25,0,0,NaN,0,NaN
Station2,AlcianBlue,Heavy,2022.02,25,0,0,NaN,0,NaN
Station2,CBBG,Heavy,2022.02,26,1,22.034,22.034,0.059,28.808
Station2,AlcianBlue,Heavy,2022.02,26,1,22.893,22.893,0.061,28.674
Station2,CBBG,Heavy,2022.02,27,1,7.492,7.492,0.02,10.73
Station2,AlcianBlue,Heavy,2022.02,27,1,11.056,11.056,0.029,12.838
Station2,CBBG,Heavy,2022.02,28,22,194.095,8.822,0.517,25.55
Station2,AlcianBlue,Heavy,2022.02,28,12,108.039,9.003,0.288,22.594
Station2,CBBG,Heavy,2022.02,29,16,183.507,11.469,0.489,30.954
Station2,AlcianBlue,Heavy,2022.02,29,16,175.234,10.952,0.467,27.536
Station2,CBBG,Heavy,2022.02,3,0,0,NaN,0,NaN
Station2,AlcianBlue,Heavy,2022.02,3,0,0,NaN,0,NaN
Station2,CBBG,Heavy,2022.02,30,29,242.612,8.366,0.646,24.331
Station2,AlcianBlue,Heavy,2022.02,30,37,378.798,10.238,1.009,26.094
Station2,CBBG,Heavy,2022.02,31,8,47.034,5.879,0.125,17.413
Station2,AlcianBlue,Heavy,2022.02,31,10,67.3,6.73,0.179,18.414
Station2,CBBG,Heavy,2022.02,32,16,140.427,8.777,0.374,26.222
Station2,AlcianBlue,Heavy,2022.02,32,14,172.347,12.31,0.459,28.661
Station2,CBBG,Heavy,2022.02,33,1,12.721,12.721,0.034,16.354
Station2,AlcianBlue,Heavy,2022.02,33,2,26.119,13.059,0.07,14.16
Station2,CBBG,Heavy,2022.02,34,0,0,NaN,0,NaN
Station2,AlcianBlue,Heavy,2022.02,34,2,16.545,8.273,0.044,13.873
Station2,CBBG,Heavy,2022.02,4,28,289.594,10.343,0.771,30.083
Station2,AlcianBlue,Heavy,2022.02,4,30,311.655,10.388,0.83,28.29
Station2,CBBG,Heavy,2022.02,5,0,0,NaN,0,NaN
Station2,AlcianBlue,Heavy,2022.02,5,1,10.094,10.094,0.027,13.311
Station2,CBBG,Heavy,2022.02,6,0,0,NaN,0,NaN
Station2,AlcianBlue,Heavy,2022.02,6,0,0,NaN,0,NaN
Station2,CBBG,Heavy,2022.02,7,0,0,NaN,0,NaN
Station2,AlcianBlue,Heavy,2022.02,7,0,0,NaN,0,NaN
Station2,CBBG,Heavy,2022.02,8,27,211.238,7.824,0.563,23.797
Station2,AlcianBlue,Heavy,2022.02,8,18,138.762,7.709,0.37,23.04
Station2,CBBG,Heavy,2022.02,9,32,335.38,10.481,0.893,30.269
Station2,AlcianBlue,Heavy,2022.02,9,52,649.792,12.496,1.73,32.086
Station2,CBBG,Light,2022.02,1,19,171.202,9.011,0.456,25.866
Station2,AlcianBlue,Light,2022.02,1,40,389.516,9.738,1.037,26.388
Station2,CBBG,Light,2022.02,10,0,0,NaN,0,NaN
Station2,AlcianBlue,Light,2022.02,10,1,5.905,5.905,0.016,9.991
Station2,CBBG,Light,2022.02,11,14,123.257,8.804,0.328,25.979
Station2,AlcianBlue,Light,2022.02,11,29,286.524,9.88,0.763,25.975
Station2,CBBG,Light,2022.02,12,0,0,NaN,0,NaN
Station2,AlcianBlue,Light,2022.02,12,0,0,NaN,0,NaN
Station2,CBBG,Light,2022.02,13,0,0,NaN,0,NaN
Station2,AlcianBlue,Light,2022.02,13,0,0,NaN,0,NaN
Station2,CBBG,Light,2022.02,14,1,8.351,8.351,0.022,14.207
Station2,AlcianBlue,Light,2022.02,14,1,19.849,19.849,0.053,18.896
Station2,CBBG,Light,2022.02,15,1,10.562,10.562,0.028,16.582
Station2,AlcianBlue,Light,2022.02,15,1,18.47,18.47,0.049,17.739
Station2,CBBG,Light,2022.02,16,1,94.953,94.953,0.253,43.487
Station2,AlcianBlue,Light,2022.02,16,1,103.044,103.044,0.274,41.379
Station2,CBBG,Light,2022.02,17,1,10.38,10.38,0.028,13.673
Station2,AlcianBlue,Light,2022.02,17,1,13.632,13.632,0.036,15.057
Station2,CBBG,Light,2022.02,18,15,142.898,9.527,0.381,26.644
Station2,AlcianBlue,Light,2022.02,18,25,269.173,10.767,0.717,26.09
Station2,CBBG,Light,2022.02,19,2,12.175,6.087,0.032,11.89
Station2,AlcianBlue,Light,2022.02,19,2,56.426,28.213,0.15,28.036
Station2,CBBG,Light,2022.02,2,19,160.12,8.427,0.426,23.93
Station2,AlcianBlue,Light,2022.02,2,42,404.761,9.637,1.078,25.204
Station2,CBBG,Light,2022.02,20,15,121.254,8.084,0.323,24.215
Station2,AlcianBlue,Light,2022.02,20,32,272.633,8.52,0.726,23.465
Station2,CBBG,Light,2022.02,21,1,13.788,13.788,0.037,19.258
Station2,AlcianBlue,Light,2022.02,21,1,17.118,17.118,0.046,18.629
Station2,CBBG,Light,2022.02,22,19,155.307,8.174,0.414,24.138
Station2,AlcianBlue,Light,2022.02,22,28,251.847,8.995,0.671,23.679
Station2,CBBG,Light,2022.02,23,10,97.008,9.701,0.258,27.506
Station2,AlcianBlue,Light,2022.02,23,0,0,NaN,0,NaN
Station2,CBBG,Light,2022.02,24,10,74.922,7.492,0.2,22.031
Station2,AlcianBlue,Light,2022.02,24,25,242.534,9.701,0.646,24.493
Station2,CBBG,Light,2022.02,25,24,262.903,10.954,0.7,30.375
Station2,AlcianBlue,Light,2022.02,25,41,507.96,12.389,1.353,28.572
Station2,CBBG,Light,2022.02,26,33,334.209,10.128,0.89,27.843
Station2,AlcianBlue,Light,2022.02,26,34,339.906,9.997,0.905,25.611
Station2,CBBG,Light,2022.02,27,0,0,NaN,0,NaN
Station2,AlcianBlue,Light,2022.02,27,0,0,NaN,0,NaN
Station2,CBBG,Light,2022.02,28,1,11.967,11.967,0.032,13.656
Station2,AlcianBlue,Light,2022.02,28,1,13.632,13.632,0.036,13.845
Station2,CBBG,Light,2022.02,29,13,101.509,7.808,0.27,23.152
Station2,AlcianBlue,Light,2022.02,29,0,0,NaN,0,NaN
Station2,CBBG,Light,2022.02,3,21,169.433,8.068,0.451,24.322
Station2,AlcianBlue,Light,2022.02,3,26,358.351,13.783,0.954,33.284
Station2,CBBG,Light,2022.02,30,0,0,NaN,0,NaN
Station2,AlcianBlue,Light,2022.02,30,0,0,NaN,0,NaN
Station2,CBBG,Light,2022.02,31,2,26.301,13.15,0.07,25.41
Station2,AlcianBlue,Light,2022.02,31,2,41.103,20.552,0.109,17.566
Station2,CBBG,Light,2022.02,32,11,94.797,8.618,0.252,24.802
Station2,AlcianBlue,Light,2022.02,32,16,158.273,9.892,0.421,27.052
Station2,CBBG,Light,2022.02,33,4,45.161,11.29,0.12,30.052
Station2,AlcianBlue,Light,2022.02,33,14,129.553,9.254,0.345,23.087
Station2,CBBG,Light,2022.02,34,5,45.682,9.136,0.122,25.546
Station2,AlcianBlue,Light,2022.02,34,17,177.185,10.423,0.472,25.921
Station2,CBBG,Light,2022.02,4,22,179.657,8.166,0.478,23.793
Station2,AlcianBlue,Light,2022.02,4,32,337.825,10.557,0.9,27.965
Station2,CBBG,Light,2022.02,5,15,106.53,7.102,0.284,21.983
Station2,AlcianBlue,Light,2022.02,5,0,0,NaN,0,NaN
Station2,CBBG,Light,2022.02,6,23,210.744,9.163,0.561,25.926
Station2,AlcianBlue,Light,2022.02,6,24,278.46,11.602,0.742,28.922
Station2,CBBG,Light,2022.02,7,22,168.444,7.657,0.449,21.664
Station2,AlcianBlue,Light,2022.02,7,31,408.689,13.184,1.088,30.207
Station2,CBBG,Light,2022.02,8,19,134.079,7.057,0.357,20.43
Station2,AlcianBlue,Light,2022.02,8,39,376.067,9.643,1.001,25.657
Station2,CBBG,Light,2022.02,9,25,206.53,8.261,0.55,24.07
Station2,AlcianBlue,Light,2022.02,9,0,0,NaN,0,NaN
Station3,CBBG,Heavy,2022.02,1,3,25.13,8.377,0.067,11.863
Station3,AlcianBlue,Heavy,2022.02,1,3,35.406,11.802,0.094,14.682
Station3,CBBG,Heavy,2022.02,10,1,9.834,9.834,0.026,12.917
Station3,AlcianBlue,Heavy,2022.02,10,1,13.007,13.007,0.035,14.018
Station3,CBBG,Heavy,2022.02,11,15,126.379,8.425,0.337,25.177
Station3,AlcianBlue,Heavy,2022.02,11,28,280.801,10.029,0.748,27.102
Station3,CBBG,Heavy,2022.02,12,5,145.499,29.1,0.387,38.533
Station3,AlcianBlue,Heavy,2022.02,12,3,148.699,49.566,0.396,37.007
Station3,CBBG,Heavy,2022.02,13,27,238.45,8.831,0.635,24.835
Station3,AlcianBlue,Heavy,2022.02,13,20,171.358,8.568,0.456,23.244
Station3,CBBG,Heavy,2022.02,14,1,6.139,6.139,0.016,10.652
Station3,AlcianBlue,Heavy,2022.02,14,4,55.021,13.755,0.147,16.648
Station3,CBBG,Heavy,2022.02,15,1,5.307,5.307,0.014,11.053
Station3,AlcianBlue,Heavy,2022.02,15,1,7.83,7.83,0.021,10.785
Station3,CBBG,Heavy,2022.02,16,0,0,NaN,0,NaN
Station3,AlcianBlue,Heavy,2022.02,16,1,5.801,5.801,0.015,9
Station3,CBBG,Heavy,2022.02,17,1,49.792,49.792,0.133,44.377
Station3,AlcianBlue,Heavy,2022.02,17,4,96.696,24.174,0.257,20.613
Station3,CBBG,Heavy,2022.02,18,2,19.043,9.521,0.051,12.421
Station3,AlcianBlue,Heavy,2022.02,18,3,33.012,11.004,0.088,13.945
Station3,CBBG,Heavy,2022.02,19,0,0,NaN,0,NaN
Station3,AlcianBlue,Heavy,2022.02,19,2,24.011,12.006,0.064,15.792
Station3,CBBG,Heavy,2022.02,2,30,476.223,15.874,1.268,38.813
Station3,AlcianBlue,Heavy,2022.02,2,33,566.389,17.163,1.508,37.498
Station3,CBBG,Heavy,2022.02,20,0,0,NaN,0,NaN
Station3,AlcianBlue,Heavy,2022.02,20,18,163.241,9.069,0.435,24.463
Station3,CBBG,Heavy,2022.02,21,19,261.629,13.77,0.697,29.19
Station3,AlcianBlue,Heavy,2022.02,21,20,297.555,14.878,0.792,30.205
Station3,CBBG,Heavy,2022.02,22,25,242.742,9.71,0.646,26.689
Station3,AlcianBlue,Heavy,2022.02,22,12,142.378,11.865,0.379,27.202
Station3,CBBG,Heavy,2022.02,23,1,27.497,27.497,0.073,23.363
Station3,AlcianBlue,Heavy,2022.02,23,1,30.645,30.645,0.082,21.845
Station3,CBBG,Heavy,2022.02,24,12,113.944,9.495,0.303,26.148
Station3,AlcianBlue,Heavy,2022.02,24,11,145.369,13.215,0.387,32.055
Station3,CBBG,Heavy,2022.02,25,2,23.283,11.642,0.062,13.133
Station3,AlcianBlue,Heavy,2022.02,25,2,29.032,14.516,0.077,14.187
Station3,CBBG,Heavy,2022.02,26,4,74.792,18.698,0.199,21.043
Station3,AlcianBlue,Heavy,2022.02,26,4,78.486,19.621,0.209,21.58
Station3,CBBG,Heavy,2022.02,27,2,19.849,9.925,0.053,15.308
Station3,AlcianBlue,Heavy,2022.02,27,2,30.385,15.193,0.081,16.209
Station3,CBBG,Heavy,2022.02,28,0,0,NaN,0,NaN
Station3,AlcianBlue,Heavy,2022.02,28,0,0,NaN,0,NaN
Station3,CBBG,Heavy,2022.02,29,1,5.229,5.229,0.014,9.951
Station3,AlcianBlue,Heavy,2022.02,29,1,7.44,7.44,0.02,11.47
Station3,CBBG,Heavy,2022.02,3,24,280.359,11.682,0.747,29.772
Station3,AlcianBlue,Heavy,2022.02,3,51,607.752,11.917,1.618,26.996
Station3,CBBG,Heavy,2022.02,30,2,101.327,50.663,0.27,43.372
Station3,AlcianBlue,Heavy,2022.02,30,2,101.587,50.793,0.271,43.152
Station3,CBBG,Heavy,2022.02,31,1,9.391,9.391,0.025,12.571
Station3,AlcianBlue,Heavy,2022.02,31,1,15.427,15.427,0.041,16.426
Station3,CBBG,Heavy,2022.02,32,36,542.872,15.08,1.446,34.63
Station3,AlcianBlue,Heavy,2022.02,32,40,656.4,16.41,1.748,34.323
Station3,CBBG,Heavy,2022.02,33,24,276.665,11.528,0.737,30.323
Station3,AlcianBlue,Heavy,2022.02,33,18,276.327,15.351,0.736,32.22
Station3,CBBG,Heavy,2022.02,34,0,0,NaN,0,NaN
Station3,AlcianBlue,Heavy,2022.02,34,1,11.056,11.056,0.029,13.389
Station3,CBBG,Heavy,2022.02,4,28,297.607,10.629,0.793,29.914
Station3,AlcianBlue,Heavy,2022.02,4,26,319.225,12.278,0.85,33.222
Station3,CBBG,Heavy,2022.02,5,24,250.963,10.457,0.668,27.969
Station3,AlcianBlue,Heavy,2022.02,5,61,729.657,11.962,1.943,26.825
Station3,CBBG,Heavy,2022.02,6,31,317.794,10.251,0.846,27.319
Station3,AlcianBlue,Heavy,2022.02,6,56,717.092,12.805,1.91,26.519
Station3,CBBG,Heavy,2022.02,7,17,167.092,9.829,0.445,29.557
Station3,AlcianBlue,Heavy,2022.02,7,1,16.207,16.207,0.043,19.808
Station3,CBBG,Heavy,2022.02,8,3,35.952,11.984,0.096,14.066
Station3,AlcianBlue,Heavy,2022.02,8,3,41.155,13.718,0.11,14.116
Station3,CBBG,Heavy,2022.02,9,1,5.983,5.983,0.016,10.408
Station3,AlcianBlue,Heavy,2022.02,9,1,6.4,6.4,0.017,9.912
Station3,CBBG,Light,2022.02,1,32,317.17,9.912,0.845,28.692
Station3,AlcianBlue,Light,2022.02,1,62,636.629,10.268,1.695,24.965
Station3,CBBG,Light,2022.02,10,41,394.381,9.619,1.05,27.29
Station3,AlcianBlue,Light,2022.02,10,39,492.274,12.622,1.311,31.061
Station3,CBBG,Light,2022.02,11,31,305.411,9.852,0.813,28.654
Station3,AlcianBlue,Light,2022.02,11,38,477.159,12.557,1.271,29.052
Station3,CBBG,Light,2022.02,12,43,490.869,11.416,1.307,30.962
Station3,AlcianBlue,Light,2022.02,12,52,631.27,12.14,1.681,29.11
Station3,CBBG,Light,2022.02,13,39,336.186,8.62,0.895,25.006
Station3,AlcianBlue,Light,2022.02,13,42,444.147,10.575,1.183,27.255
Station3,CBBG,Light,2022.02,14,21,252.601,12.029,0.673,34.557
Station3,AlcianBlue,Light,2022.02,14,33,453.096,13.73,1.207,33.436
Station3,CBBG,Light,2022.02,15,42,435.354,10.366,1.159,29.544
Station3,AlcianBlue,Light,2022.02,15,59,872.086,14.781,2.322,32.648
Station3,CBBG,Light,2022.02,16,30,319.615,10.654,0.851,29.373
Station3,AlcianBlue,Light,2022.02,16,47,574.063,12.214,1.529,30.025
Station3,CBBG,Light,2022.02,17,29,275.702,9.507,0.734,26.748
Station3,AlcianBlue,Light,2022.02,17,53,654.006,12.34,1.742,28.603
Station3,CBBG,Light,2022.02,18,31,329.162,10.618,0.877,30.436
Station3,AlcianBlue,Light,2022.02,18,39,463.658,11.889,1.235,28.971
Station3,CBBG,Light,2022.02,19,34,369.641,10.872,0.984,28.726
Station3,AlcianBlue,Light,2022.02,19,65,870.343,13.39,2.318,29.704
Station3,CBBG,Light,2022.02,2,33,345.135,10.459,0.919,29.433
Station3,AlcianBlue,Light,2022.02,2,30,428.668,14.289,1.142,33.447
Station3,CBBG,Light,2022.02,20,8,80.125,10.016,0.213,23.951
Station3,AlcianBlue,Light,2022.02,20,35,464.542,13.273,1.237,26.79
Station3,CBBG,Light,2022.02,21,37,355.021,9.595,0.945,26.681
Station3,AlcianBlue,Light,2022.02,21,62,909.938,14.676,2.423,30.415
Station3,CBBG,Light,2022.02,22,28,282.18,10.078,0.751,28.543
Station3,AlcianBlue,Light,2022.02,22,48,641.727,13.369,1.709,29.973
Station3,CBBG,Light,2022.02,23,22,172.971,7.862,0.461,22.752
Station3,AlcianBlue,Light,2022.02,23,47,587.149,12.493,1.564,29.91
Station3,CBBG,Light,2022.02,24,23,248.751,10.815,0.662,27.582
Station3,AlcianBlue,Light,2022.02,24,51,841.103,16.492,2.24,30.691
Station3,CBBG,Light,2022.02,25,31,303.356,9.786,0.808,26.074
Station3,AlcianBlue,Light,2022.02,25,54,792.404,14.674,2.11,30.165
Station3,CBBG,Light,2022.02,26,41,512.773,12.507,1.365,30.812
Station3,AlcianBlue,Light,2022.02,26,61,1071.748,17.57,2.854,33.148
Station3,CBBG,Light,2022.02,27,24,273.127,11.38,0.727,29.819
Station3,AlcianBlue,Light,2022.02,27,46,693.106,15.068,1.846,31.47
Station3,CBBG,Light,2022.02,28,19,159.235,8.381,0.424,22.532
Station3,AlcianBlue,Light,2022.02,28,54,709.105,13.132,1.888,27.273
Station3,CBBG,Light,2022.02,29,0,0,NaN,0,NaN
Station3,AlcianBlue,Light,2022.02,29,0,0,NaN,0,NaN
Station3,CBBG,Light,2022.02,3,43,399.35,9.287,1.063,26.704
Station3,AlcianBlue,Light,2022.02,3,51,612.409,12.008,1.631,30.903
Station3,CBBG,Light,2022.02,30,24,257.18,10.716,0.685,29.739
Station3,AlcianBlue,Light,2022.02,30,24,421.592,17.566,1.123,36.316
Station3,CBBG,Light,2022.02,31,31,383.715,12.378,1.022,30.322
Station3,AlcianBlue,Light,2022.02,31,65,969.147,14.91,2.581,29.195
Station3,CBBG,Light,2022.02,32,0,0,NaN,0,NaN
Station3,AlcianBlue,Light,2022.02,32,0,0,NaN,0,NaN
Station3,CBBG,Light,2022.02,4,58,634.391,10.938,1.689,30.798
Station3,AlcianBlue,Light,2022.02,4,42,561.629,13.372,1.496,31.995
Station3,CBBG,Light,2022.02,5,38,405.515,10.671,1.08,29.196
Station3,AlcianBlue,Light,2022.02,5,50,588.163,11.763,1.566,30.66
Station3,CBBG,Light,2022.02,6,33,322.867,9.784,0.86,28.561
Station3,AlcianBlue,Light,2022.02,6,41,402.107,9.807,1.071,26.487
Station3,CBBG,Light,2022.02,7,41,400.598,9.771,1.067,28.45
Station3,AlcianBlue,Light,2022.02,7,49,544.407,11.11,1.45,28.987
Station3,CBBG,Light,2022.02,8,43,380.775,8.855,1.014,26.018
Station3,AlcianBlue,Light,2022.02,8,43,522.685,12.155,1.392,29.974
Station3,CBBG,Light,2022.02,9,27,254.865,9.439,0.679,27.766
Station3,AlcianBlue,Light,2022.02,9,33,538.606,16.321,1.434,40.271
Station4,CBBG,Heavy,2022.02,1,126,1988.111,15.779,5.294,25.031
Station4,AlcianBlue,Heavy,2022.02,1,129,2965.557,22.989,7.897,24.824
Station4,CBBG,Heavy,2022.02,10,115,2094.719,18.215,5.578,25.85
Station4,AlcianBlue,Heavy,2022.02,10,130,3135.068,24.116,8.348,25.107
Station4,CBBG,Heavy,2022.02,11,116,1985.744,17.118,5.288,24.795
Station4,AlcianBlue,Heavy,2022.02,11,123,2911.134,23.668,7.752,24.755
Station4,CBBG,Heavy,2022.02,12,45,629.839,13.996,1.677,32.384
Station4,AlcianBlue,Heavy,2022.02,12,72,1443.496,20.049,3.844,37.124
Station4,CBBG,Heavy,2022.02,13,122,2179.943,17.868,5.805,24.554
Station4,AlcianBlue,Heavy,2022.02,13,142,3228.486,22.736,8.597,23.735
Station4,CBBG,Heavy,2022.02,14,84,1356.53,16.149,3.612,27.935
Station4,AlcianBlue,Heavy,2022.02,14,2,56.712,28.356,0.151,26.219
Station4,CBBG,Heavy,2022.02,15,96,1612.747,16.799,4.295,26.818
Station4,AlcianBlue,Heavy,2022.02,15,106,2457.18,23.181,6.543,27.736
Station4,CBBG,Heavy,2022.02,16,109,1831.998,16.807,4.878,28.327
Station4,AlcianBlue,Heavy,2022.02,16,124,2550.234,20.566,6.791,26.789
Station4,CBBG,Heavy,2022.02,17,113,1574.532,13.934,4.193,26.119
Station4,AlcianBlue,Heavy,2022.02,17,140,2799.844,19.999,7.456,24.868
Station4,CBBG,Heavy,2022.02,18,1,10.25,10.25,0.027,13.161
Station4,AlcianBlue,Heavy,2022.02,18,1,13.554,13.554,0.036,18.951
Station4,CBBG,Heavy,2022.02,19,120,2341.935,19.516,6.236,26.321
Station4,AlcianBlue,Heavy,2022.02,19,134,3147.997,23.493,8.383,24.192
Station4,CBBG,Heavy,2022.02,2,59,696.358,11.803,1.854,28.19
Station4,AlcianBlue,Heavy,2022.02,2,76,1474.168,19.397,3.926,36.623
Station4,CBBG,Heavy,2022.02,20,2,17.404,8.702,0.046,11.308
Station4,AlcianBlue,Heavy,2022.02,20,2,18.73,9.365,0.05,11.489
Station4,CBBG,Heavy,2022.02,21,68,1177.133,17.311,3.135,26.877
Station4,AlcianBlue,Heavy,2022.02,21,78,1733.481,22.224,4.616,25.019
Station4,CBBG,Heavy,2022.02,22,129,2455.567,19.035,6.539,25.168
Station4,AlcianBlue,Heavy,2022.02,22,126,3120.968,24.77,8.311,23.63
Station4,CBBG,Heavy,2022.02,23,1,25.911,25.911,0.069,24.103
Station4,AlcianBlue,Heavy,2022.02,23,1,33.012,33.012,0.088,24.308
Station4,CBBG,Heavy,2022.02,24,115,2034.365,17.69,5.417,25.967
Station4,AlcianBlue,Heavy,2022.02,24,119,3043.054,25.572,8.103,26.991
Station4,CBBG,Heavy,2022.02,25,111,2176.743,19.61,5.797,28.751
Station4,AlcianBlue,Heavy,2022.02,25,113,2941.883,26.034,7.834,27.959
Station4,CBBG,Heavy,2022.02,26,125,2335.328,18.683,6.219,25.97
Station4,AlcianBlue,Heavy,2022.02,26,135,3293.6,24.397,8.771,24.348
Station4,CBBG,Heavy,2022.02,27,104,1768.314,17.003,4.709,28.319
Station4,AlcianBlue,Heavy,2022.02,27,125,2540.921,20.327,6.766,26.533
Station4,CBBG,Heavy,2022.02,28,138,2393.6,17.345,6.374,25.291
Station4,AlcianBlue,Heavy,2022.02,28,145,3350.78,23.109,8.923,23.654
Station4,CBBG,Heavy,2022.02,29,73,1231.113,16.865,3.278,31.874
Station4,AlcianBlue,Heavy,2022.02,29,87,1911.342,21.969,5.09,32.278
Station4,CBBG,Heavy,2022.02,3,121,2400.338,19.838,6.392,24.573
Station4,AlcianBlue,Heavy,2022.02,3,120,2861.42,23.845,7.62,22.312
Station4,CBBG,Heavy,2022.02,30,121,2200.858,18.189,5.861,26.206
Station4,AlcianBlue,Heavy,2022.02,30,123,3017.066,24.529,8.034,25.325
Station4,CBBG,Heavy,2022.02,31,110,1804.735,16.407,4.806,25.59
Station4,AlcianBlue,Heavy,2022.02,31,125,2686.082,21.489,7.153,24.677
Station4,CBBG,Heavy,2022.02,32,122,2205.645,18.079,5.873,27.126
Station4,AlcianBlue,Heavy,2022.02,32,123,3071.774,24.974,8.18,26.772
Station4,CBBG,Heavy,2022.02,33,67,1241.935,18.536,3.307,35.07
Station4,AlcianBlue,Heavy,2022.02,33,87,2019.381,23.211,5.377,35.895
Station4,CBBG,Heavy,2022.02,34,108,1757.206,16.27,4.679,28.528
Station4,AlcianBlue,Heavy,2022.02,34,118,2583.767,21.896,6.88,28.44
Station4,CBBG,Heavy,2022.02,35,1,29.865,29.865,0.08,22.656
Station4,AlcianBlue,Heavy,2022.02,35,1,38.528,38.528,0.103,25.771
Station4,CBBG,Heavy,2022.02,4,105,2043.002,19.457,5.44,25.954
Station4,AlcianBlue,Heavy,2022.02,4,108,2549.792,23.609,6.79,24.66
Station4,CBBG,Heavy,2022.02,5,92,1587.357,17.254,4.227,29.245
Station4,AlcianBlue,Heavy,2022.02,5,104,2558.195,24.598,6.812,30.276
Station4,CBBG,Heavy,2022.02,6,118,2151.925,18.237,5.73,24.385
Station4,AlcianBlue,Heavy,2022.02,6,132,3022.294,22.896,8.048,23.196
Station4,CBBG,Heavy,2022.02,7,97,1717.56,17.707,4.574,27.868
Station4,AlcianBlue,Heavy,2022.02,7,101,2501.327,24.766,6.661,27.92
Station4,CBBG,Heavy,2022.02,8,135,2309.001,17.104,6.149,25.398
Station4,AlcianBlue,Heavy,2022.02,8,144,3407.986,23.667,9.075,26.026
Station4,CBBG,Heavy,2022.02,9,113,2042.456,18.075,5.439,29.055
Station4,AlcianBlue,Heavy,2022.02,9,115,2916.051,25.357,7.765,29.76
Station4,CBBG,Light,2022.02,1,1,11.733,11.733,0.031,15.253
Station4,AlcianBlue,Light,2022.02,1,135,3366.753,24.939,8.965,23.748
Station4,CBBG,Light,2022.02,10,146,2610.9,17.883,6.953,25.56
Station4,AlcianBlue,Light,2022.02,10,138,3615.297,26.198,9.627,26.342
Station4,CBBG,Light,2022.02,11,112,2008.012,17.929,5.347,24.922
Station4,AlcianBlue,Light,2022.02,11,121,3025.286,25.002,8.056,25.479
Station4,CBBG,Light,2022.02,12,129,2535.146,19.652,6.751,25.707
Station4,AlcianBlue,Light,2022.02,12,136,3311.655,24.35,8.819,24.487
Station4,CBBG,Light,2022.02,13,124,2434.521,19.633,6.483,25.315
Station4,AlcianBlue,Light,2022.02,13,129,3245.395,25.158,8.642,24.074
Station4,CBBG,Light,2022.02,14,120,2303.278,19.194,6.133,25.885
Station4,AlcianBlue,Light,2022.02,14,127,3149.584,24.8,8.387,24.266
Station4,CBBG,Light,2022.02,15,121,2316.623,19.146,6.169,25.984
Station4,AlcianBlue,Light,2022.02,15,126,3120.968,24.77,8.311,24.728
